Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_cat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,joint_map_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_noncat_accuracy
default,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9544899620184482,0.9589663591969616,0.9670204829083016,0.6088326821025313,0.6170558846751966,0.6739371758003254,0.6758003255561584,0.8541555819316332,0.8552631578947368,0.9503207338578404,0.8406185716223549,0.0801257596310363,0.1603364080303852,0.317267690586001,0.6585422348484848
default,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9544899620184482,0.9589663591969616,0.9670204829083016,0.6088326821025313,0.6170558846751966,0.6739371758003254,0.6758003255561584,0.8541555819316332,0.8552631578947368,0.9503207338578404,0.8406185716223549,0.0801257596310363,0.1603364080303852,0.317267690586001,0.6585422348484848
default,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.9820944112859468,1.0,0.9820944112859468,0.2655843266200849,0.3819444444444444,0.7414541508410201,0.8440043407487792,0.7973412913727618,0.7973412913727618,1.0,0.8171459576776994,0.6893651654910472,0.7406402604449267,0.8171459576776994,0.0
default,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
default,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,
default,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9713781877373848,0.9742268041237112,0.9801953336950624,0.4604105778194843,0.384236655280959,0.6294669017905589,0.6819045035268584,0.6603364080303853,0.6603364080303853,1.0,0.8974755832881172,0.499413958220293,0.5031199131850245,0.8901239962018448,0.7870165394402036
default,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
default,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.8095496473141617,0.8109061313076505,0.8863266413456321,0.8433848223628482,0.7753903729513485,0.5435817010309278,0.6755290287574607,0.7860824742268041,0.7860824742268041,1.0,0.6944330493760175,0.4782685155317417,0.5602278893109062,0.6858247545276179,0.9231638208364266
default,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.951709169831796,0.9629679869777537,0.9556429734129136,0.6177239583333334,,0.9534196961475856,,0.9113724362452524,,0.9113724362452524,0.9534196961475856,0.9063408532781334,,0.9063408532781334,0.6177239583333334
default,train,1.0,0.946825827455236,1.0,0.946825827455236,0.9211882799782962,0.9236299511665762,0.9319045035268584,0.7925014709210229,0.826705189213687,0.5017634291915355,0.5017634291915355,0.6781120455778622,0.8878187737384698,0.6911934346174715,,0.3195556847531199,0.4503526858383071,0.6853606690179056,0.6581441476826395
nocross,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9544899620184482,0.9589663591969616,0.9670204829083016,0.5061664259568216,0.6170558846751966,0.6364894194248508,0.6758003255561584,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.7589867064568638,0.7286353771025502,0.7090567914631941,0.8371880086814976,0.356590909090909
nocross,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9544899620184482,0.9589663591969616,0.9670204829083016,0.5061664259568216,0.6170558846751966,0.6364894194248508,0.6758003255561584,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.7589867064568638,0.7286353771025502,0.7090567914631941,0.8371880086814976,0.356590909090909
nocross,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.9820944112859468,1.0,0.9820944112859468,0.2655843266200849,0.3819444444444444,0.7414541508410201,0.8440043407487792,0.7973412913727618,0.7973412913727618,1.0,0.8171459576776994,0.6893651654910472,0.7406402604449267,0.8171459576776994,0.0
nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,
nocross,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9713781877373848,0.9742268041237112,0.9801953336950624,0.3487593839699713,0.384236655280959,0.579625610417797,0.6819045035268584,0.6603364080303853,0.6603364080303853,1.0,0.765735214324471,0.4949810092240911,0.5031199131850245,0.765735214324471,0.1692111959287532
nocross,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
nocross,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.8095496473141617,0.8109061313076505,0.8863266413456321,0.6063007623698241,0.7753903729513485,0.4384156266956049,0.6755290287574607,0.7860824742268041,0.7860824742268041,1.0,0.5318773738469886,0.4241725447639717,0.5602278893109062,0.5318773738469886,0.4391858450878496
nocross,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.951709169831796,0.9629679869777537,0.9556429734129136,0.3825520833333333,,0.9211882799782962,,0.9088442756375474,,0.9088442756375474,0.9211882799782962,0.904639175257732,,0.904639175257732,0.3825520833333333
nocross,train,1.0,0.946825827455236,1.0,0.946825827455236,0.9211882799782962,0.9236299511665762,0.9319045035268584,0.7725390359809912,0.826705189213687,0.5017634291915355,0.5017634291915355,0.667932718393923,0.8878187737384698,0.6781063483450895,,0.3159251220835594,0.4503526858383071,0.6781063483450895,0.5671641791044776
nofuzzy,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9544899620184482,0.9589663591969616,0.9670204829083016,0.5061664259568216,0.6170558846751966,0.1755290287574606,0.3054801953336951,0.2061855670103092,0.3266413456321215,0.5918339663591969,0.3385784047748236,0.0610417797069994,0.1603364080303852,0.1958762886597938,0.356590909090909
nofuzzy,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9544899620184482,0.9589663591969616,0.9670204829083016,0.5061664259568216,0.6170558846751966,0.1755290287574606,0.3054801953336951,0.2061855670103092,0.3266413456321215,0.5918339663591969,0.3385784047748236,0.0610417797069994,0.1603364080303852,0.1958762886597938,0.356590909090909
nofuzzy,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.9820944112859468,1.0,0.9820944112859468,0.2655843266200849,0.3819444444444444,0.7414541508410201,0.8440043407487792,0.7973412913727618,0.7973412913727618,1.0,0.8171459576776994,0.6893651654910472,0.7406402604449267,0.8171459576776994,0.0
nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,
nofuzzy,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9713781877373848,0.9742268041237112,0.9801953336950624,0.3487593839699713,0.384236655280959,0.579625610417797,0.6819045035268584,0.6603364080303853,0.6603364080303853,1.0,0.765735214324471,0.4949810092240911,0.5031199131850245,0.765735214324471,0.1692111959287532
nofuzzy,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
