Test Set,Setting,Service,Slot,Mapping,Categorical,Accuracy,F1,Recall,Precision
v2.1,both,attraction,attraction-type,Mapping,Categorical,0.8270482908301682,0.5172283226050738,0.53027950310559,0.5048041389504804
v2.1,both,restaurant,restaurant-pricerange,Mapping,Categorical,0.856348345089528,0.7335849056603774,0.586484312148029,0.9791806581598388
v2.1,both,restaurant,restaurant-area,Non-mapping,Categorical,0.7885241454150841,0.6081930133199297,0.469356089992242,0.8636688079942898
v2.1,both,restaurant,restaurant-food,Mapping,Categorical,0.9080303852414542,0.8472972972972973,0.749402390438247,0.9746113989637306
v2.1,both,restaurant,restaurant-name,Mapping,Non-categorical,0.7107976125881714,0.2201901975128017,0.1262054507337526,0.8624641833810889
v2.1,both,restaurant,restaurant-bookday,Non-mapping,Categorical,0.9525230602278894,0.8700816629547142,0.7897574123989218,0.968595041322314
v2.1,both,restaurant,restaurant-bookpeople,Mapping,Categorical,0.7944926749864352,0.61867606342814,0.4611632270168855,0.9396024464831804
v2.1,both,restaurant,restaurant-booktime,Mapping,Non-categorical,0.8373575691806837,0.658501851324409,0.4931740614334471,0.9905741216795202
v2.1,both,taxi,taxi-leaveat,Non-mapping,Non-categorical,0.6346988605534455,0.1121002307945928,0.0619533527696793,0.5882352941176471
v2.1,both,taxi,taxi-destination,Mapping,Non-categorical,0.9206456863809008,0.2332896461336828,0.1498316498316498,0.5266272189349113
v2.1,both,taxi,taxi-departure,Non-mapping,Non-categorical,0.9160336408030384,0.0606980273141122,0.0505050505050505,0.0760456273764258
v2.1,both,taxi,taxi-arriveby,Non-mapping,Non-categorical,0.967444384156267,0.0,0.0,0.0
v2.1,desc,hotel,hotel-pricerange,Non-mapping,Categorical,0.8545651878985212,0.5694779116465863,0.4428482198625859,0.7975253093363329
v2.1,desc,hotel,hotel-type,Non-mapping,Categorical,0.7993487993487993,0.0987202925045703,0.1379897785349233,0.0768500948766603
v2.1,desc,hotel,hotel-parking,Non-mapping,Categorical,0.8308234974901642,0.0280592361652377,0.0237467018469656,0.0342857142857142
v2.1,desc,hotel,hotel-bookday,Non-mapping,Categorical,0.938135938135938,0.7790697674418605,0.7369385884509624,0.8263103802672148
v2.1,desc,hotel,hotel-bookpeople,Mapping,Categorical,0.743996743996744,0.286578449905482,0.2320881812614819,0.3745059288537549
v2.1,desc,hotel,hotel-bookstay,Mapping,Categorical,0.9301315967982636,0.776959722823733,0.6379800853485064,0.9933554817275748
v2.1,desc,hotel,hotel-stars,Mapping,Categorical,0.9397639397639398,0.8145363408521303,0.7695343330702447,0.865128660159716
v2.1,desc,hotel,hotel-internet,Non-mapping,Categorical,0.8477818477818477,0.0157894736842105,0.0205949656750572,0.0128022759601706
v2.1,desc,hotel,hotel-name,Mapping,Non-categorical,0.7651607651607651,0.2163875056586691,0.1337437045327364,0.566350710900474
v2.1,desc,hotel,hotel-area,Non-mapping,Categorical,0.7745217745217745,0.3502736512900703,0.2531073446327683,0.5685279187817259
v2.1,desc,train,train-destination,Mapping,Categorical,0.8030385241454151,0.7457983193277311,0.6421465179378957,0.8893528183716075
v2.1,desc,train,train-arriveby,Non-mapping,Non-categorical,0.7643787303309821,0.1096873398257303,0.1706539074960127,0.0808157099697885
v2.1,desc,train,train-departure,Mapping,Categorical,0.8929734129137277,0.8542936288088642,0.7769566677863621,0.9487284659557014
v2.1,desc,train,train-day,Non-mapping,Categorical,0.8958220293000543,0.8415841584158416,0.8789314950452392,0.8072813612979818
v2.1,desc,train,train-bookpeople,Mapping,Categorical,0.6752577319587629,0.4551661356395083,0.3040437823046518,0.9049773755656108
v2.1,desc,train,train-leaveat,Non-mapping,Non-categorical,0.763293543136191,0.4332575511529717,0.291520979020979,0.843236409608091
v2.1,desc,attraction,attraction-area,Non-mapping,Categorical,0.3944655453065653,0.2739102147039687,0.167329093799682,0.7544802867383512
v2.1,desc,attraction,attraction-name,Mapping,Non-categorical,0.8168746608790016,0.0,0.0,0.0
v2.1,desc,attraction,attraction-type,Mapping,Categorical,0.8270482908301682,0.5172283226050738,0.53027950310559,0.5048041389504804
v2.1,desc,restaurant,restaurant-pricerange,Mapping,Categorical,0.856348345089528,0.7335849056603774,0.586484312148029,0.9791806581598388
